City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Georgetown,MY,84.13,haze,5.4112,100.3354,Cititel Penang
18,Hasaki,JP,81.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
21,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
23,Gull Lake,CA,88.81,clear sky,50.1001,-108.4847,Campbell's Accommodations
25,Weston,US,86.0,clear sky,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
26,Urumqi,CN,83.35,few clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
27,Roma,US,79.83,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
28,Bonthe,SL,76.8,light rain,7.5264,-12.505,Bonthe Holiday Village
30,Butaritari,KI,82.35,few clouds,3.0707,172.7902,Isles Sunset Lodge
31,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
34,Gizo,SB,84.02,few clouds,-8.103,156.8419,Imagination Island
35,Pouembout,NC,79.41,scattered clouds,-21.1333,164.9,Camping de Tipenga
36,Kihei,US,85.96,few clouds,20.785,-156.4656,Maui Sunset
43,Atuona,PF,78.22,few clouds,-9.8,-139.0333,Villa Enata
50,Coahuayana,MX,79.92,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
52,Tual,ID,78.87,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
56,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
58,Springfield,US,78.64,overcast clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
59,Machiques,VE,77.11,scattered clouds,10.0644,-72.545,hotel el markes
60,Bengkulu,ID,78.75,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
63,Faanui,PF,76.69,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
66,Talladega,US,83.41,clear sky,33.4359,-86.1058,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
69,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
75,Chase,CA,83.32,clear sky,50.8165,-119.6857,Chase Country Inn Motel
82,Bonnyville,CA,78.6,clear sky,54.2668,-110.735,Best Western Bonnyville Inn & Suites
83,Meulaboh,ID,78.62,few clouds,4.1363,96.1285,Kost Pria
84,Umarkot,PK,83.01,scattered clouds,25.3616,69.7362,Al-Qamar Boys Hostel
88,Katsuura,JP,80.53,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
89,Touros,BR,76.42,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
90,Lumsden,CA,88.75,clear sky,50.6501,-104.8678,Lumsden Hotel & Steak Pit
92,Brownsville,US,88.09,few clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
97,Kashi,CN,79.81,clear sky,39.4547,75.9797,帕米尔青年旅舍
99,Sangar,RU,75.04,broken clouds,63.9242,127.4739,
100,Albany,US,81.01,overcast clouds,42.6001,-73.9662,
103,Lompoc,US,86.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
105,Bajil,YE,86.52,overcast clouds,15.0584,43.2851,فندق حضرموت
109,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
113,Taunsa,PK,87.03,scattered clouds,30.7048,70.6505,Nan shop
114,Luancheng,CN,86.16,few clouds,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
123,Sungairaya,ID,81.07,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
124,Tiznit,MA,76.06,clear sky,29.5833,-9.5,
125,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
127,Jaggayyapeta,IN,77.59,moderate rain,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
135,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
137,Itarema,BR,79.18,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
141,Pochutla,MX,82.22,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
143,Vieste,IT,78.1,clear sky,41.8825,16.175,Hotel Falcone
147,Kusu,JP,81.01,light rain,33.2831,131.1514,Shine Hotel Kusu
150,Carutapera,BR,75.24,few clouds,-1.195,-46.02,Lidera
151,Sinnamary,GF,77.85,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
154,Eureka,US,77.67,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
160,Rosetown,CA,82.38,scattered clouds,51.5501,-108.0014,Travelodge by Wyndham Rosetown
161,Bethel,US,76.64,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
163,Buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
170,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
171,Dwarka,IN,81.73,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
172,Palmas,BR,75.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
176,Araouane,ML,87.33,overcast clouds,18.9048,-3.5265,
186,Avera,US,82.45,clear sky,33.194,-82.5271,
191,Auki,SB,86.4,clear sky,-8.7676,160.7034,Auki Motel
