City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Brae,GB,2022-07-22 17:12:19,60.3964,-1.353,53.56,72,100,10.76,overcast clouds
1,Esperance,AU,2022-07-22 17:12:19,-33.8667,121.9,53.49,77,87,13.8,overcast clouds
2,Kapaa,US,2022-07-22 17:10:15,22.0752,-159.319,79.12,86,40,12.66,scattered clouds
3,Broken Hill,AU,2022-07-22 17:12:20,-31.95,141.4333,55.08,71,100,12.28,light rain
4,Husavik,IS,2022-07-22 17:09:41,66.0449,-17.3389,51.94,81,63,6.51,broken clouds
5,Trinidad,BO,2022-07-22 17:12:21,-14.8333,-64.9,91.38,43,20,5.75,few clouds
6,Cape Town,ZA,2022-07-22 17:12:18,-33.9258,18.4232,59.34,81,100,5.01,overcast clouds
7,Yokadouma,CM,2022-07-22 17:12:22,3.5167,15.05,70.7,98,100,1.97,overcast clouds
8,Puerto Ayora,EC,2022-07-22 17:12:22,-0.7393,-90.3518,78.76,86,48,5.99,scattered clouds
9,Port Hardy,CA,2022-07-22 17:12:23,50.6996,-127.4199,57.81,86,96,6.35,overcast clouds
10,Albany,US,2022-07-22 17:12:23,42.6001,-73.9662,92.62,42,7,1.01,clear sky
11,Cairns,AU,2022-07-22 17:12:24,-16.9167,145.7667,67.95,87,75,6.91,broken clouds
12,Georgetown,MY,2022-07-22 17:07:27,5.4112,100.3354,78.73,96,40,0.0,scattered clouds
13,Wanlaweyn,SO,2022-07-22 17:12:24,2.6185,44.8938,75.0,75,44,17.98,scattered clouds
14,Bagn,NO,2022-07-22 17:12:25,60.8225,9.5521,72.09,63,100,5.44,overcast clouds
15,Tazovskiy,RU,2022-07-22 17:12:25,67.4667,78.7,47.62,76,100,6.49,overcast clouds
16,Mount Isa,AU,2022-07-22 17:12:25,-20.7333,139.5,47.97,46,0,5.75,clear sky
17,Mackenzie,CA,2022-07-22 17:12:26,55.2999,-123.1698,67.57,44,99,1.61,overcast clouds
18,Bredasdorp,ZA,2022-07-22 17:12:26,-34.5322,20.0403,54.36,64,100,7.85,overcast clouds
19,Rikitea,PF,2022-07-22 17:12:27,-23.1203,-134.9692,72.61,75,99,7.7,overcast clouds
20,Lorengau,PG,2022-07-22 17:12:27,-2.0226,147.2712,81.64,80,88,7.29,overcast clouds
21,Portland,US,2022-07-22 17:09:10,45.5234,-122.6762,66.24,76,100,5.99,overcast clouds
22,Rio Grande,BR,2022-07-22 17:12:28,-32.035,-52.0986,67.95,96,100,3.8,overcast clouds
23,Chuy,UY,2022-07-22 17:12:17,-33.6971,-53.4616,60.01,83,100,3.15,overcast clouds
24,Norman Wells,CA,2022-07-22 17:12:28,65.282,-126.8329,71.46,47,33,4.88,scattered clouds
25,Mar Del Plata,AR,2022-07-22 17:11:50,-38.0023,-57.5575,53.62,68,0,5.75,clear sky
26,Bluff,NZ,2022-07-22 17:12:29,-46.6,168.3333,33.8,84,83,7.25,broken clouds
27,Sinnamary,GF,2022-07-22 17:12:29,5.3833,-52.95,83.16,71,14,6.85,few clouds
28,Atuona,PF,2022-07-22 17:12:30,-9.8,-139.0333,76.96,76,2,15.28,clear sky
29,Punta Arenas,CL,2022-07-22 17:12:30,-53.15,-70.9167,41.02,75,0,20.71,clear sky
30,Xiazhen,CN,2022-07-22 17:12:30,34.8022,117.1117,75.9,97,100,9.95,moderate rain
31,Marawi,PH,2022-07-22 17:08:31,7.9986,124.2928,69.48,94,95,2.46,overcast clouds
32,Kailua,US,2022-07-22 17:12:31,21.4022,-157.7394,78.78,76,100,9.22,overcast clouds
33,East London,ZA,2022-07-22 17:07:50,-33.0153,27.9116,69.39,51,5,8.03,clear sky
34,New Norfolk,AU,2022-07-22 17:09:25,-42.7826,147.0587,49.5,83,99,1.01,overcast clouds
35,Roblin,CA,2022-07-22 17:12:32,51.23,-101.3565,66.99,69,5,8.68,clear sky
36,Ushuaia,AR,2022-07-22 17:12:32,-54.8,-68.3,35.26,93,100,29.93,sleet
37,Sola,VU,2022-07-22 17:12:33,-13.8833,167.55,80.17,79,99,14.63,overcast clouds
38,Sao Filipe,CV,2022-07-22 17:12:33,14.8961,-24.4956,75.83,80,72,6.73,broken clouds
39,Port Hedland,AU,2022-07-22 17:12:33,-20.3167,118.5667,66.25,100,100,4.61,overcast clouds
40,Ilulissat,GL,2022-07-22 17:12:34,69.2167,-51.1,48.22,93,100,3.44,light rain
41,Adrar,MR,2022-07-22 17:10:04,20.5022,-10.0711,98.38,28,59,3.0,light rain
42,Grao Mogol,BR,2022-07-22 17:12:34,-16.5594,-42.8897,79.86,32,0,7.05,clear sky
43,Barrow,US,2022-07-22 17:12:35,71.2906,-156.7887,37.42,93,100,11.5,mist
44,Hualmay,PE,2022-07-22 17:12:35,-11.0964,-77.6139,65.98,69,55,6.91,broken clouds
45,Flin Flon,CA,2022-07-22 17:07:59,54.7682,-101.865,55.96,66,97,6.44,overcast clouds
46,Hofn,IS,2022-07-22 17:13:36,64.2539,-15.2082,52.59,88,91,5.32,overcast clouds
47,Nikolskoye,RU,2022-07-22 17:13:36,59.7035,30.7861,81.81,54,35,3.2,scattered clouds
48,Derbent,RU,2022-07-22 17:13:37,42.0678,48.2899,74.84,69,17,11.39,few clouds
49,Samarai,PG,2022-07-22 17:13:37,-10.6167,150.6667,79.59,81,33,5.61,scattered clouds
50,Katsuura,JP,2022-07-22 17:13:38,35.1333,140.3,78.98,85,34,18.48,scattered clouds
51,Sao Felix Do Xingu,BR,2022-07-22 17:13:38,-6.6447,-51.995,96.37,20,60,3.65,broken clouds
52,Saint George,US,2022-07-22 17:13:39,37.1041,-113.5841,100.44,17,0,3.0,clear sky
53,Kudahuvadhoo,MV,2022-07-22 17:13:39,2.6708,72.8944,82.49,74,100,15.79,overcast clouds
54,Butaritari,KI,2022-07-22 17:13:40,3.0707,172.7902,80.96,76,30,9.19,scattered clouds
55,Port Alfred,ZA,2022-07-22 17:13:40,-33.5906,26.891,65.5,67,49,3.33,scattered clouds
56,Sitka,US,2022-07-22 17:10:35,57.0531,-135.33,55.29,82,100,4.61,overcast clouds
57,Valparaiso,CL,2022-07-22 17:13:24,-33.0393,-71.6273,59.23,76,2,9.22,fog
58,Vilyuysk,RU,2022-07-22 17:13:41,63.7553,121.6247,58.59,91,39,3.51,scattered clouds
59,Wanning,CN,2022-07-22 17:13:41,18.8003,110.3967,80.04,86,25,5.1,scattered clouds
60,Qaanaaq,GL,2022-07-22 17:13:42,77.484,-69.3632,42.19,84,100,11.54,overcast clouds
61,Mataura,NZ,2022-07-22 17:13:42,-46.1927,168.8643,33.48,98,16,2.95,few clouds
62,Hermanus,ZA,2022-07-22 17:08:43,-34.4187,19.2345,55.8,68,92,11.77,overcast clouds
63,Sarkikaraagac,TR,2022-07-22 17:09:12,38.0794,31.3664,70.47,33,0,6.17,clear sky
64,Port Lincoln,AU,2022-07-22 17:13:43,-34.7333,135.8667,53.04,65,86,6.04,overcast clouds
65,Tuatapere,NZ,2022-07-22 17:13:43,-46.1333,167.6833,37.49,93,47,3.87,scattered clouds
66,Calama,CL,2022-07-22 17:13:44,-22.4667,-68.9333,70.29,16,0,12.66,clear sky
67,Hilo,US,2022-07-22 17:13:44,19.7297,-155.09,78.28,100,100,10.36,heavy intensity rain
68,Ribeira Grande,PT,2022-07-22 17:13:44,38.5167,-28.7,77.4,83,40,12.66,scattered clouds
69,Bulgan,MN,2022-07-22 17:13:45,48.8125,103.5347,50.76,93,100,4.79,overcast clouds
70,Hithadhoo,MV,2022-07-22 17:13:45,-0.6,73.0833,81.09,74,100,7.18,overcast clouds
71,Kaitangata,NZ,2022-07-22 17:08:47,-46.2817,169.8464,38.68,92,84,4.68,broken clouds
